//格式为日文[Tab]中文[Tab]解释(可不写)，参考项目wiki
館長	馆长	男主人公
サンソヴィーノ	桑索维诺	人名
アルテ	阿尔特	人名
ゴッホ	梵高	人名
ドナテッロ	多纳泰罗	人名
セキエン	石燕	人名
ミケランジェロ	米开朗琪罗	人名
レンブラント	伦勃朗	人名
アングル	安格尔	人名
マネ	马奈	人名
ロダン	罗丹	人名
ラファエロ	拉斐尔	人名
フェルメール	维梅尔	人名
ブグロー	布格罗	人名
セザンヌ	塞尚	人名
モリゾ	莫里索	人名
死の芸術	死之艺术
死の芸術業者	死之艺术家
フィオレンツァ	佛罗伦萨	人名
キャルト	卡萝特	人名
ヘラッテ	赫拉提	人名
カティ	卡蒂	人名
アデューテ	阿休特	人名
ガルテルステ	加尔特尔斯特	人名
ツァオ	夏欧	人名
ルーヴ	卢浮	人名
ディーテ	迪特	人名
パンシェ	潘榭	人名
アルノン	阿尔侬	人名
トルソ	托尔索	人名
リヴェルベロ	韦尔贝罗	人名
テュルプ	杜尔普	人名
ラベレナ	拉贝尔纳	人名
シズク	雫	人名
バベルウ	巴贝鲁	人名
ヴィクトリア	维多莉亚	人名
アンジェリーナ	安洁莉娜	人名
ディオミステ	迪奥米斯特	人名
トレンティーナ	特伦蒂娜	人名
ミアヌ	米亚努	人名
コンフレーズ	康弗雷兹	人名
シュラン	朱兰	人名
プロフィーラ	普罗费拉	人名
クラマドカ	库拉玛德卡	人名
トゥーリ	多莉	人名
さつき	皋月	人名
ミエーレ	米耶蕾	人名
ピエディ	皮耶迪	人名
グラマンシュ	格拉曼什	人名
セルビオーネ	塞维欧尼	人名
エスティー	艾丝媞	人名
アンジェラ	安琪拉	人名
クラン	库兰	人名
ネイト	奈特	人名
ルミアン	鲁米安	人名
ローリエ	香叶	人名
ふたば	双叶	人名
フォルジェール	佛洛杰尔	人名
スキッピオ	斯基皮奥	人名
カプリマ	卡普里玛	人名
ヘスデル	赫丝缇尔	人名
アンプルーラ	安普尔勒	人名
ペルシク	佩尔西克	人名
ラズリ	拉兹莉	人名
パルマ	帕尔玛	人名
キュオ	玖奥	人名
ノエミ	诺艾米	人名
イマージュ	形象	某一类人
カラヴァッジオ	卡拉瓦乔	人名
あんじゅ	安茹	人名
コレット	柯蕾特	人名
アルマンディーヌ	阿尔曼汀	人名
ジャン	让	人名
ダヴィンチ	达芬奇	人名
金色の獅子	金狮子
模倣野苺	仿野莓
ソフィー	索菲	人名
ビアンカ	碧安卡	人名
ブレイク	布莱克	人名
ポワゾ	波瓦佐	人名
グリス	格里斯	人名
アミル	艾米尔	人名
テレサ	特蕾莎	人名
アレット	阿莱特	人名
デューラー	杜拉	人名
ミーちゃん	米酱
ネリーナ	奈莉娜	人名
ムーラン	穆兰	人名
よひら	四宫	人名
ニコラス	尼可拉斯	人名
アドン	亚登	人名
ピエロ	皮耶罗	人名
ウィユ	维优	人名
ペトマーノ	佩特玛诺	人名
ロジェ	罗洁	人名
パーシュース	帕修斯	人名
フィーア	菲亚	人名
ボッティチェリ	波提切利	人名
フィヨーラ	菲欧拉	人名
アルバーヌ	阿尔巴奴	人名
マティア	马蒂亚	人名
ヴァルンボン	瓦伦邦	人名
アンゲリカ	安洁莉卡	人名
アモレ	阿莫蕾	人名
ドゥアーネ	杜亚尼	人名
ザイファ	扎伊法	人名
メナール	梅纳尔	人名
ポリーヌ	波利努	人名
キュイ	丘伊	人名
カルペディア	卡尔佩迪亚	人名
エルガー	埃尔加	人名
バーガーシュ	巴葛修	人名
ミーナ	米娜	人名
パガニーニ	帕格尼尼	人名
レオニー	莱奥妮	人名
エヴァ	伊娃	人名
ベア子	熊女孩
クマリザ	熊丽莎
クマロボ	熊机器人
ヨシノ	吉野	人名
カトレア	卡特蕾雅
巨大クマロボ	巨大熊熊机器人
こうえん	高圆	人名
エスティ―	艾丝缇	人名
シャティ	夏蒂
